,Latitude,Longitude,sounds
2017-01-03 17:50:00,,,0.0
2017-01-03 17:51:00,,,
2017-01-03 17:52:00,,,
2017-01-03 17:53:00,,,
2017-01-03 17:54:00,,,
2017-01-03 17:55:00,,,0.0
2017-01-03 17:56:00,,,
2017-01-03 17:57:00,,,
2017-01-03 17:58:00,,,
2017-01-03 17:59:00,,,
2017-01-03 18:00:00,,,0.0
2017-01-03 18:01:00,,,
2017-01-03 18:02:00,,,
2017-01-03 18:03:00,,,
2017-01-03 18:04:00,,,
2017-01-03 18:05:00,,,0.0
2017-01-03 18:06:00,,,
2017-01-03 18:07:00,,,
2017-01-03 18:08:00,,,
2017-01-03 18:09:00,,,
2017-01-03 18:10:00,,,0.0
2017-01-03 18:11:00,,,
2017-01-03 18:12:00,,,
2017-01-03 18:13:00,,,
2017-01-03 18:14:00,,,
2017-01-03 18:15:00,,,0.0
2017-01-03 18:16:00,,,
2017-01-03 18:17:00,,,
2017-01-03 18:18:00,,,
2017-01-03 18:19:00,,,
2017-01-03 18:20:00,,,0.0
2017-01-03 18:21:00,,,
2017-01-03 18:22:00,,,
2017-01-03 18:23:00,,,
2017-01-03 18:24:00,,,
2017-01-03 18:25:00,,,1.0
2017-01-03 18:26:00,,,
2017-01-03 18:27:00,,,
2017-01-03 18:28:00,,,
2017-01-03 18:29:00,,,
2017-01-03 18:30:00,,,0.0
2017-01-03 18:31:00,,,
2017-01-03 18:32:00,,,
2017-01-03 18:33:00,27.66831167,-83.33149667,
2017-01-03 18:34:00,27.66855667,-83.33086667,
2017-01-03 18:35:00,27.66856,-83.33076,0.0
2017-01-03 18:36:00,27.66856333,-83.33065333,
2017-01-03 18:37:00,27.668509999999998,-83.33055333,
2017-01-03 18:38:00,27.66849,-83.330461665,
2017-01-03 18:39:00,27.66847,-83.33037,
2017-01-03 18:40:00,27.668449999999996,-83.330278335,0.0
2017-01-03 18:41:00,27.668429999999997,-83.33018667,
2017-01-03 18:42:00,27.668515000000003,-83.32997667,
2017-01-03 18:43:00,27.668519165,-83.32989167,
2017-01-03 18:44:00,27.66852333,-83.32980667,
2017-01-03 18:45:00,27.66847667,-83.32968833,0.0
2017-01-03 18:46:00,27.66850167,-83.32964,
2017-01-03 18:47:00,27.668540003,-83.329558333,
2017-01-03 18:48:00,27.668578336,-83.329476666,
2017-01-03 18:49:00,27.668616669,-83.329394999,
2017-01-03 18:50:00,27.668655001999998,-83.329313332,0.0
2017-01-03 18:51:00,27.668693335,-83.32923166500001,
2017-01-03 18:52:00,27.668731668,-83.329149998,
2017-01-03 18:53:00,27.668770001,-83.329068331,
2017-01-03 18:54:00,27.668808333999998,-83.328986664,
2017-01-03 18:55:00,27.668846666999997,-83.32890499700001,0.0
2017-01-03 18:56:00,27.668884999999996,-83.32882333,
2017-01-03 18:57:00,27.668897416499995,-83.32871366350001,
2017-01-03 18:58:00,27.668909832999997,-83.328603997,
2017-01-03 18:59:00,27.668922249499996,-83.3284943305,
2017-01-03 19:00:00,27.668934666,-83.32838466400001,0.0
2017-01-03 19:01:00,27.668947082499997,-83.3282749975,
2017-01-03 19:02:00,27.668959498999996,-83.32816533100001,
2017-01-03 19:03:00,27.6689719155,-83.32805566450001,
2017-01-03 19:04:00,27.668984331999997,-83.327945998,
2017-01-03 19:05:00,27.6689967485,-83.32783633150001,0.0
2017-01-03 19:06:00,27.669009165,-83.327726665,
2017-01-03 19:07:00,27.669021581499997,-83.3276169985,
2017-01-03 19:08:00,27.669033998,-83.32750733200001,
2017-01-03 19:09:00,27.6690464145,-83.3273976655,
2017-01-03 19:10:00,27.669058831,-83.327287999,0.0
2017-01-03 19:11:00,27.6690712475,-83.32717833250001,
2017-01-03 19:12:00,27.669083664,-83.327068666,
2017-01-03 19:13:00,27.6690960805,-83.32695899950001,
2017-01-03 19:14:00,27.669108497,-83.32684933300001,
2017-01-03 19:15:00,27.669120913500002,-83.3267396665,0.0
2017-01-03 19:16:00,27.66913333,-83.32663000000001,
2017-01-03 19:17:00,27.669099282380955,-83.32654119047619,
2017-01-03 19:18:00,27.669065234761906,-83.32645238095239,
2017-01-03 19:19:00,27.66903118714286,-83.32636357142857,
2017-01-03 19:20:00,27.66899713952381,-83.32627476190477,0.0
2017-01-03 19:21:00,27.668963091904764,-83.32618595238095,
2017-01-03 19:22:00,27.668929044285715,-83.32609714285715,
2017-01-03 19:23:00,27.66889499666667,-83.32600833333333,
2017-01-03 19:24:00,27.66886094904762,-83.32591952380953,
2017-01-03 19:25:00,27.668826901428574,-83.32583071428571,0.0
2017-01-03 19:26:00,27.668792853809524,-83.32574190476191,
2017-01-03 19:27:00,27.66875880619048,-83.3256530952381,
2017-01-03 19:28:00,27.66872475857143,-83.3255642857143,
2017-01-03 19:29:00,27.668690710952383,-83.32547547619048,
2017-01-03 19:30:00,27.668656663333334,-83.32538666666667,0.0
2017-01-03 19:31:00,27.668622615714288,-83.32529785714286,
2017-01-03 19:32:00,27.668588568095238,-83.32520904761905,
2017-01-03 19:33:00,27.668554520476192,-83.32512023809524,
2017-01-03 19:34:00,27.668520472857143,-83.32503142857144,
2017-01-03 19:35:00,27.668486425238097,-83.32494261904762,0.0
2017-01-03 19:36:00,27.668452377619047,-83.32485380952382,
2017-01-03 19:37:00,27.66841833,-83.324765,
2017-01-03 19:38:00,27.668422010833336,-83.32466131958333,
2017-01-03 19:39:00,27.66842569166667,-83.32455763916667,
2017-01-03 19:40:00,27.6684293725,-83.32445395875,0.0
2017-01-03 19:41:00,27.668433053333334,-83.32435027833333,
2017-01-03 19:42:00,27.66843673416667,-83.32424659791667,
2017-01-03 19:43:00,27.668440415,-83.3241429175,
2017-01-03 19:44:00,27.668444095833333,-83.32403923708333,
2017-01-03 19:45:00,27.668447776666667,-83.32393555666667,0.0
2017-01-03 19:46:00,27.6684514575,-83.32383187625,
2017-01-03 19:47:00,27.668455138333336,-83.32372819583333,
2017-01-03 19:48:00,27.668458819166666,-83.32362451541667,
2017-01-03 19:49:00,27.6684625,-83.323520835,
2017-01-03 19:50:00,27.668466180833335,-83.32341715458332,0.0
2017-01-03 19:51:00,27.668469861666665,-83.32331347416667,
2017-01-03 19:52:00,27.6684735425,-83.32320979375,
2017-01-03 19:53:00,27.668477223333333,-83.32310611333332,
2017-01-03 19:54:00,27.668480904166668,-83.32300243291667,
2017-01-03 19:55:00,27.668484585,-83.3228987525,0.0
2017-01-03 19:56:00,27.668488265833332,-83.32279507208332,
2017-01-03 19:57:00,27.668491946666666,-83.32269139166667,
2017-01-03 19:58:00,27.6684956275,-83.32258771125,
2017-01-03 19:59:00,27.66849930833333,-83.32248403083332,
