tag,datetime,date,time,hour,minute,year,month,type,ours,Species,TL,AG,CG,Cath,Condition,Fate,Comments,Recaptures
15222,19MAY17:18:32:32,05/19/2017,18:32:32,18,32,2017,5,imp,1,RG,574,U,U,N,,S,"Didn't see release, seaqualized to 50 ft instead of 100ft.",RECAPTURED: 4/1/2017 Event 5 fish #28. Pictures of stitches on camera. Sutures still noticeable. Seaqualized to 100 ft. Came off and just floated @ 100ft. Then drifted out of site. Possibly
15222,19MAY17:22:29:31,05/19/2017,22:29:31,22,29,2017,5,vmt,1,RG,574,U,U,N,,S,"Didn't see release, seaqualized to 50 ft instead of 100ft.",RECAPTURED: 4/1/2017 Event 5 fish #28. Pictures of stitches on camera. Sutures still noticeable. Seaqualized to 100 ft. Came off and just floated @ 100ft. Then drifted out of site. Possibly
15222,19MAY17:22:34:02,05/19/2017,22:34:02,22,34,2017,5,vmt,1,RG,574,U,U,N,,S,"Didn't see release, seaqualized to 50 ft instead of 100ft.",RECAPTURED: 4/1/2017 Event 5 fish #28. Pictures of stitches on camera. Sutures still noticeable. Seaqualized to 100 ft. Came off and just floated @ 100ft. Then drifted out of site. Possibly
15222,19MAY17:22:36:15,05/19/2017,22:36:15,22,36,2017,5,vmt,1,RG,574,U,U,N,,S,"Didn't see release, seaqualized to 50 ft instead of 100ft.",RECAPTURED: 4/1/2017 Event 5 fish #28. Pictures of stitches on camera. Sutures still noticeable. Seaqualized to 100 ft. Came off and just floated @ 100ft. Then drifted out of site. Possibly
15222,19MAY17:22:39:10,05/19/2017,22:39:10,22,39,2017,5,vmt,1,RG,574,U,U,N,,S,"Didn't see release, seaqualized to 50 ft instead of 100ft.",RECAPTURED: 4/1/2017 Event 5 fish #28. Pictures of stitches on camera. Sutures still noticeable. Seaqualized to 100 ft. Came off and just floated @ 100ft. Then drifted out of site. Possibly
15222,03JUN17:21:34:29,06/03/2017,21:34:29,21,34,2017,6,vmt,1,RG,574,U,U,N,,S,"Didn't see release, seaqualized to 50 ft instead of 100ft.",RECAPTURED: 4/1/2017 Event 5 fish #28. Pictures of stitches on camera. Sutures still noticeable. Seaqualized to 100 ft. Came off and just floated @ 100ft. Then drifted out of site. Possibly
15222,03JUN17:21:57:24,06/03/2017,21:57:24,21,57,2017,6,vmt,1,RG,574,U,U,N,,S,"Didn't see release, seaqualized to 50 ft instead of 100ft.",RECAPTURED: 4/1/2017 Event 5 fish #28. Pictures of stitches on camera. Sutures still noticeable. Seaqualized to 100 ft. Came off and just floated @ 100ft. Then drifted out of site. Possibly
15222,04JUN17:01:16:00,06/04/2017,1:16:00,1,16,2017,6,vmt,1,RG,574,U,U,N,,S,"Didn't see release, seaqualized to 50 ft instead of 100ft.",RECAPTURED: 4/1/2017 Event 5 fish #28. Pictures of stitches on camera. Sutures still noticeable. Seaqualized to 100 ft. Came off and just floated @ 100ft. Then drifted out of site. Possibly
15222,04JUN17:01:17:48,06/04/2017,1:17:48,1,17,2017,6,vmt,1,RG,574,U,U,N,,S,"Didn't see release, seaqualized to 50 ft instead of 100ft.",RECAPTURED: 4/1/2017 Event 5 fish #28. Pictures of stitches on camera. Sutures still noticeable. Seaqualized to 100 ft. Came off and just floated @ 100ft. Then drifted out of site. Possibly
15224,19MAY17:18:18:42,05/19/2017,18:18:42,18,18,2017,5,imp,1,RG,444,F,F,A,2,S,drumming loud. Feisty after surgery on deck. Cathy had eggs. Seaqualized to 150 ft,
